Username,Wallet,TSL2L (Value|Date|Days),TSL1S (Value|Date|Days),SOX3L (Value|Date|Days),SOX3S (Value|Date|Days),SPX3S (Value|Date|Days),SPX3L (Value|Date|Days),Total Value
@ravi242448,5MAo2gZ5tEZh,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@b_bri77,EVMRQ5B16Axw,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.13|06-02|0d,$0.13
@Shapikizz,GFPczNK3FWE2,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@IshaK__,BNXbNvKCQ5Bv,$1.98|05-26|6d,$0.99|05-27|5d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.99|05-26|6d,$3.96
@deeweb3grul,5hv5DaEnKCZg,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00
@srcryptos,4Rpc7mBSdLtS,$1.40|05-31|2d,$0.00|-|-,$5.10|05-29|4d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$6.50
@ercetin_an,CmaSa4dzwrLJ,$5.40|05-27|6d,$0.00|-|-,$25.06|05-27|6d,$0.00|-|-,$2.00|05-28|4d,$0.00|-|-,$32.45
@kristian_sera,B31ZCuL1RBXo,$1.51|05-28|5d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$1.51
@dhankha513,CUXTRxZwJoRf,$5.17|05-29|4d,$5.00|05-29|4d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$10.17
@CryptoHermit_,7jg685BhAQRf,$0.00|-|-,$0.00|-|-,$24.99|05-27|6d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$24.99
@3ndicub3,4952uuVzqmb9,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$4.02|05-28|4d,$4.02
@mimnavidi,77oyQVteYPbM,$0.99|05-31|1d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.99|05-31|1d,$0.99|05-31|1d,$2.97
@Cisco_Naija,EnQsz2UBSaXH,$7.52|05-27|5d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$7.52
@Helen9976,2cGqZwi8uUDf,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.27|05-28|4d,$0.00|-|-,$5.27
@yaroGM2999,ChHF1LfEDcDN,$1.09|05-28|5d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.20|05-28|5d,$4.50|05-28|5d,$10.78
@0xMohii,3cHFAF4tYim1,$5.75|05-27|6d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$7.78|05-28|5d,$13.53
@luhaha971,5Hp5wvymHArp,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.12|05-28|4d,$0.00|-|-,$5.12
@Dao_Quang_Trung,7hoyfx3LXA8L,$5.28|05-28|5d,$0.00|-|-,$5.00|05-31|2d,$0.00|-|-,$0.00|-|-,$5.00|05-31|2d,$15.27
@floozyxbt,F8tRLvm6qiRb,$0.00|-|-,$5.66|05-30|3d,$0.00|-|-,$0.00|-|-,$0.00|-|-,$0.00|-|-,$5.66
